,Unnamed: 0,Year,City,Age Range,Number in Range
9,9,2018,"Albany, NY",25 to 34 Years,15951
75,75,2018,"Albany, NY",25 to 34 Years,15951
141,141,2018,"Albany, NY",25 to 34 Years,15951
207,207,2018,"Albany, NY",25 to 34 Years,15951
273,273,2018,"Albany, NY",25 to 34 Years,15951
339,339,2018,"Albany, NY",25 to 34 Years,15951
405,405,2018,"Atlanta, GA",25 to 34 Years,102941
471,471,2018,"Atlanta, GA",25 to 34 Years,102941
537,537,2018,"Atlanta, GA",25 to 34 Years,102941
603,603,2018,"Atlanta, GA",25 to 34 Years,102941
669,669,2018,"Atlanta, GA",25 to 34 Years,102941
735,735,2018,"Atlanta, GA",25 to 34 Years,102941
801,801,2018,"Atlanta, GA",25 to 34 Years,102941
867,867,2018,"Atlanta, GA",25 to 34 Years,102941
933,933,2018,"Atlanta, GA",25 to 34 Years,102941
999,999,2018,"Atlanta, GA",25 to 34 Years,102941
1065,1065,2018,"Atlanta, GA",25 to 34 Years,102941
1131,1131,2018,"Atlanta, GA",25 to 34 Years,102941
1197,1197,2018,"Boise City, ID",25 to 34 Years,34737
1263,1263,2018,"Boise City, ID",25 to 34 Years,34737
1329,1329,2018,"Boise City, ID",25 to 34 Years,34737
1395,1395,2018,"Boise City, ID",25 to 34 Years,34737
1461,1461,2018,"Boise City, ID",25 to 34 Years,34737
1527,1527,2018,"Boise City, ID",25 to 34 Years,34737
1593,1593,2018,"Boston, MA",25 to 34 Years,171798
1659,1659,2018,"Boston, MA",25 to 34 Years,171798
1725,1725,2018,"Boston, MA",25 to 34 Years,171798
1791,1791,2018,"Boston, MA",25 to 34 Years,171798
1857,1857,2018,"Boston, MA",25 to 34 Years,171798
1923,1923,2018,"Boston, MA",25 to 34 Years,171798
1989,1989,2018,"Buffalo, NY",25 to 34 Years,47375
2055,2055,2018,"Buffalo, NY",25 to 34 Years,47375
2121,2121,2018,"Buffalo, NY",25 to 34 Years,47375
2187,2187,2018,"Buffalo, NY",25 to 34 Years,47375
2253,2253,2018,"Buffalo, NY",25 to 34 Years,47375
2319,2319,2018,"Buffalo, NY",25 to 34 Years,47375
2385,2385,2018,"Charlotte, NC",25 to 34 Years,157640
2451,2451,2018,"Charlotte, NC",25 to 34 Years,157640
2517,2517,2018,"Charlotte, NC",25 to 34 Years,157640
2583,2583,2018,"Charlotte, NC",25 to 34 Years,157640
2649,2649,2018,"Charlotte, NC",25 to 34 Years,157640
2715,2715,2018,"Charlotte, NC",25 to 34 Years,157640
2781,2781,2018,"Chicago, IL",25 to 34 Years,540134
2847,2847,2018,"Chicago, IL",25 to 34 Years,540134
2913,2913,2018,"Chicago, IL",25 to 34 Years,540134
2979,2979,2018,"Chicago, IL",25 to 34 Years,540134
3045,3045,2018,"Chicago, IL",25 to 34 Years,540134
3111,3111,2018,"Chicago, IL",25 to 34 Years,540134
3177,3177,2018,"Cincinnati, OH",25 to 34 Years,58295
3243,3243,2018,"Cincinnati, OH",25 to 34 Years,58295
3309,3309,2018,"Cincinnati, OH",25 to 34 Years,58295
3375,3375,2018,"Cincinnati, OH",25 to 34 Years,58295
3441,3441,2018,"Cincinnati, OH",25 to 34 Years,58295
3507,3507,2018,"Cincinnati, OH",25 to 34 Years,58295
3573,3573,2018,"Columbus, OH",25 to 34 Years,187258
3639,3639,2018,"Columbus, OH",25 to 34 Years,187258
3705,3705,2018,"Columbus, OH",25 to 34 Years,187258
3771,3771,2018,"Columbus, OH",25 to 34 Years,187258
3837,3837,2018,"Columbus, OH",25 to 34 Years,187258
3903,3903,2018,"Columbus, OH",25 to 34 Years,187258
3969,3969,2018,"Dallas, TX",25 to 34 Years,249912
4035,4035,2018,"Dallas, TX",25 to 34 Years,249912
4101,4101,2018,"Dallas, TX",25 to 34 Years,249912
4167,4167,2018,"Dallas, TX",25 to 34 Years,249912
4233,4233,2018,"Dallas, TX",25 to 34 Years,249912
4299,4299,2018,"Dallas, TX",25 to 34 Years,249912
4365,4365,2018,"Denver, CO",25 to 34 Years,167260
4431,4431,2018,"Denver, CO",25 to 34 Years,167260
4497,4497,2018,"Denver, CO",25 to 34 Years,167260
4563,4563,2018,"Denver, CO",25 to 34 Years,167260
4629,4629,2018,"Denver, CO",25 to 34 Years,167260
4695,4695,2018,"Denver, CO",25 to 34 Years,167260
4761,4761,2018,"Detroit, MI",25 to 34 Years,102047
4827,4827,2018,"Detroit, MI",25 to 34 Years,102047
4893,4893,2018,"Detroit, MI",25 to 34 Years,102047
4959,4959,2018,"Detroit, MI",25 to 34 Years,102047
5025,5025,2018,"Detroit, MI",25 to 34 Years,102047
5091,5091,2018,"Detroit, MI",25 to 34 Years,102047
5157,5157,2018,"Grand Rapids, MI",25 to 34 Years,38939
5223,5223,2018,"Grand Rapids, MI",25 to 34 Years,38939
5289,5289,2018,"Grand Rapids, MI",25 to 34 Years,38939
5355,5355,2018,"Grand Rapids, MI",25 to 34 Years,38939
5421,5421,2018,"Grand Rapids, MI",25 to 34 Years,38939
5487,5487,2018,"Grand Rapids, MI",25 to 34 Years,38939
5553,5553,2018,"Harrisburg, PA",25 to 34 Years,8620
5619,5619,2018,"Harrisburg, PA",25 to 34 Years,8620
5685,5685,2018,"Harrisburg, PA",25 to 34 Years,8620
5751,5751,2018,"Harrisburg, PA",25 to 34 Years,8620
5817,5817,2018,"Harrisburg, PA",25 to 34 Years,8620
5883,5883,2018,"Harrisburg, PA",25 to 34 Years,8620
5949,5949,2018,"Hartford, CT",25 to 34 Years,19964
6015,6015,2018,"Hartford, CT",25 to 34 Years,19964
6081,6081,2018,"Hartford, CT",25 to 34 Years,19964
6147,6147,2018,"Hartford, CT",25 to 34 Years,19964
6213,6213,2018,"Hartford, CT",25 to 34 Years,19964
6279,6279,2018,"Hartford, CT",25 to 34 Years,19964
6345,6345,2018,"Houston, TX",25 to 34 Years,428263
6411,6411,2018,"Houston, TX",25 to 34 Years,428263
6477,6477,2018,"Houston, TX",25 to 34 Years,428263
6543,6543,2018,"Houston, TX",25 to 34 Years,428263
6609,6609,2018,"Houston, TX",25 to 34 Years,428263
6675,6675,2018,"Houston, TX",25 to 34 Years,428263
6741,6741,2018,"Indianapolis city (balance), IN",25 to 34 Years,147293
6807,6807,2018,"Indianapolis city (balance), IN",25 to 34 Years,147293
6873,6873,2018,"Indianapolis city (balance), IN",25 to 34 Years,147293
6939,6939,2018,"Indianapolis city (balance), IN",25 to 34 Years,147293
7005,7005,2018,"Indianapolis city (balance), IN",25 to 34 Years,147293
7071,7071,2018,"Indianapolis city (balance), IN",25 to 34 Years,147293
7137,7137,2018,"Jacksonville, FL",25 to 34 Years,149930
7203,7203,2018,"Jacksonville, FL",25 to 34 Years,149930
7269,7269,2018,"Jacksonville, FL",25 to 34 Years,149930
7335,7335,2018,"Jacksonville, FL",25 to 34 Years,149930
7401,7401,2018,"Jacksonville, FL",25 to 34 Years,149930
7467,7467,2018,"Jacksonville, FL",25 to 34 Years,149930
7533,7533,2018,"Las Vegas, NV",25 to 34 Years,90715
7599,7599,2018,"Las Vegas, NV",25 to 34 Years,90715
7665,7665,2018,"Las Vegas, NV",25 to 34 Years,90715
7731,7731,2018,"Las Vegas, NV",25 to 34 Years,90715
7797,7797,2018,"Las Vegas, NV",25 to 34 Years,90715
7863,7863,2018,"Las Vegas, NV",25 to 34 Years,90715
7929,7929,2018,"Los Angeles, CA",25 to 34 Years,732538
7995,7995,2018,"Los Angeles, CA",25 to 34 Years,732538
8061,8061,2018,"Los Angeles, CA",25 to 34 Years,732538
8127,8127,2018,"Los Angeles, CA",25 to 34 Years,732538
8193,8193,2018,"Los Angeles, CA",25 to 34 Years,732538
8259,8259,2018,"Los Angeles, CA",25 to 34 Years,732538
8325,8325,2018,"Miami, FL",25 to 34 Years,80956
