,Year,City,Median Income
0,2018,"Albany, NY",45500
1,2017,"Albany, NY",43790
2,2016,"Albany, NY",42335
3,2015,"Albany, NY",40949
4,2014,"Albany, NY",41099
5,2013,"Albany, NY",40287
6,2018,"Albany, NY",45500
7,2017,"Albany, NY",43790
8,2016,"Albany, NY",42335
9,2015,"Albany, NY",40949
10,2014,"Albany, NY",41099
11,2013,"Albany, NY",40287
12,2018,"Albany, NY",45500
13,2017,"Albany, NY",43790
14,2016,"Albany, NY",42335
15,2015,"Albany, NY",40949
16,2014,"Albany, NY",41099
17,2013,"Albany, NY",40287
18,2018,"Albany, NY",45500
19,2017,"Albany, NY",43790
20,2016,"Albany, NY",42335
21,2015,"Albany, NY",40949
22,2014,"Albany, NY",41099
23,2013,"Albany, NY",40287
24,2018,"Albany, NY",45500
25,2017,"Albany, NY",43790
26,2016,"Albany, NY",42335
27,2015,"Albany, NY",40949
28,2014,"Albany, NY",41099
29,2013,"Albany, NY",40287
30,2018,"Albany, NY",45500
31,2017,"Albany, NY",43790
32,2016,"Albany, NY",42335
33,2015,"Albany, NY",40949
34,2014,"Albany, NY",41099
35,2013,"Albany, NY",40287
36,2018,"Atlanta, GA",65345
37,2017,"Atlanta, GA",57597
38,2016,"Atlanta, GA",53843
39,2015,"Atlanta, GA",50210
40,2014,"Atlanta, GA",46777
41,2013,"Atlanta, GA",46485
42,2018,"Atlanta, GA",65345
43,2017,"Atlanta, GA",57597
44,2016,"Atlanta, GA",53843
45,2015,"Atlanta, GA",50210
46,2014,"Atlanta, GA",46777
47,2013,"Atlanta, GA",46485
48,2018,"Atlanta, GA",65345
49,2017,"Atlanta, GA",57597
50,2016,"Atlanta, GA",53843
51,2015,"Atlanta, GA",50210
52,2014,"Atlanta, GA",46777
53,2013,"Atlanta, GA",46485
54,2018,"Atlanta, GA",65345
55,2017,"Atlanta, GA",57597
56,2016,"Atlanta, GA",53843
57,2015,"Atlanta, GA",50210
58,2014,"Atlanta, GA",46777
59,2013,"Atlanta, GA",46485
60,2018,"Atlanta, GA",65345
61,2017,"Atlanta, GA",57597
