Year,City,Age Range,Number in Range
2018,"Albany, NY",18 to 24 Years,21091
2018,"Albany, NY",75 Years & Over,5906
2018,"Albany, NY",45 to 54 Years,10514
2018,"Albany, NY",Under 5 Years,5491
2018,"Albany, NY",65 to 74 Years,6670
2018,"Albany, NY",35 to 44 Years,10400
2018,"Albany, NY",55 to 59 Years,5270
2018,"Albany, NY",5 to 17 Years,11803
2018,"Albany, NY",62 to 64 Years,2768
2018,"Albany, NY",25 to 34 Years,15951
2018,"Albany, NY",60 & 61 Years,2025
2017,"Albany, NY",5 to 17 Years,11584
2017,"Albany, NY",75 Years & Over,5788
2017,"Albany, NY",60 & 61 Years,2036
2017,"Albany, NY",25 to 34 Years,16607
2017,"Albany, NY",62 to 64 Years,2686
2017,"Albany, NY",18 to 24 Years,21560
2017,"Albany, NY",55 to 59 Years,5401
2017,"Albany, NY",35 to 44 Years,10337
2017,"Albany, NY",65 to 74 Years,6634
2017,"Albany, NY",Under 5 Years,5442
2017,"Albany, NY",45 to 54 Years,10423
2016,"Albany, NY",5 to 17 Years,11073
2016,"Albany, NY",18 to 24 Years,22069
2016,"Albany, NY",60 & 61 Years,2048
2016,"Albany, NY",75 Years & Over,5791
2016,"Albany, NY",45 to 54 Years,10974
2016,"Albany, NY",35 to 44 Years,10462
2016,"Albany, NY",62 to 64 Years,2621
2016,"Albany, NY",65 to 74 Years,6294
2016,"Albany, NY",55 to 59 Years,5520
2016,"Albany, NY",Under 5 Years,5368
2016,"Albany, NY",25 to 34 Years,16205
2015,"Albany, NY",25 to 34 Years,16221
2015,"Albany, NY",18 to 24 Years,21741
2015,"Albany, NY",55 to 59 Years,5631
2015,"Albany, NY",75 Years & Over,5779
2015,"Albany, NY",35 to 44 Years,10389
2015,"Albany, NY",60 & 61 Years,1915
2015,"Albany, NY",Under 5 Years,5334
2015,"Albany, NY",5 to 17 Years,11486
2015,"Albany, NY",45 to 54 Years,10787
2015,"Albany, NY",62 to 64 Years,2785
2015,"Albany, NY",65 to 74 Years,6400
2018,"Albany, NY",18 to 24 Years,21091
2018,"Albany, NY",75 Years & Over,5906
2018,"Albany, NY",45 to 54 Years,10514
2018,"Albany, NY",Under 5 Years,5491
2018,"Albany, NY",65 to 74 Years,6670
2018,"Albany, NY",35 to 44 Years,10400
2018,"Albany, NY",55 to 59 Years,5270
2018,"Albany, NY",5 to 17 Years,11803
2018,"Albany, NY",62 to 64 Years,2768
2018,"Albany, NY",25 to 34 Years,15951
2018,"Albany, NY",60 & 61 Years,2025
2017,"Albany, NY",5 to 17 Years,11584
2017,"Albany, NY",75 Years & Over,5788
2017,"Albany, NY",60 & 61 Years,2036
2017,"Albany, NY",25 to 34 Years,16607
2017,"Albany, NY",62 to 64 Years,2686
2017,"Albany, NY",18 to 24 Years,21560
2017,"Albany, NY",55 to 59 Years,5401
2017,"Albany, NY",35 to 44 Years,10337
2017,"Albany, NY",65 to 74 Years,6634
2017,"Albany, NY",Under 5 Years,5442
2017,"Albany, NY",45 to 54 Years,10423
2016,"Albany, NY",5 to 17 Years,11073
2016,"Albany, NY",18 to 24 Years,22069
2016,"Albany, NY",60 & 61 Years,2048
2016,"Albany, NY",75 Years & Over,5791
2016,"Albany, NY",45 to 54 Years,10974
2016,"Albany, NY",35 to 44 Years,10462
2016,"Albany, NY",62 to 64 Years,2621
2016,"Albany, NY",65 to 74 Years,6294
2016,"Albany, NY",55 to 59 Years,5520
2016,"Albany, NY",Under 5 Years,5368
2016,"Albany, NY",25 to 34 Years,16205
2015,"Albany, NY",25 to 34 Years,16221
2015,"Albany, NY",18 to 24 Years,21741
2015,"Albany, NY",55 to 59 Years,5631
2015,"Albany, NY",75 Years & Over,5779
2015,"Albany, NY",35 to 44 Years,10389
2015,"Albany, NY",60 & 61 Years,1915
2015,"Albany, NY",Under 5 Years,5334
2015,"Albany, NY",5 to 17 Years,11486
2015,"Albany, NY",45 to 54 Years,10787
2015,"Albany, NY",62 to 64 Years,2785
2015,"Albany, NY",65 to 74 Years,6400
2018,"Albany, NY",18 to 24 Years,21091
2018,"Albany, NY",75 Years & Over,5906
2018,"Albany, NY",45 to 54 Years,10514
2018,"Albany, NY",Under 5 Years,5491
2018,"Albany, NY",65 to 74 Years,6670
2018,"Albany, NY",35 to 44 Years,10400
2018,"Albany, NY",55 to 59 Years,5270
2018,"Albany, NY",5 to 17 Years,11803
2018,"Albany, NY",62 to 64 Years,2768
2018,"Albany, NY",25 to 34 Years,15951
2018,"Albany, NY",60 & 61 Years,2025
2017,"Albany, NY",5 to 17 Years,11584
2017,"Albany, NY",75 Years & Over,5788
2017,"Albany, NY",60 & 61 Years,2036
2017,"Albany, NY",25 to 34 Years,16607
2017,"Albany, NY",62 to 64 Years,2686
2017,"Albany, NY",18 to 24 Years,21560
2017,"Albany, NY",55 to 59 Years,5401
2017,"Albany, NY",35 to 44 Years,10337
2017,"Albany, NY",65 to 74 Years,6634
2017,"Albany, NY",Under 5 Years,5442
2017,"Albany, NY",45 to 54 Years,10423
2016,"Albany, NY",5 to 17 Years,11073
2016,"Albany, NY",18 to 24 Years,22069
2016,"Albany, NY",60 & 61 Years,2048
2016,"Albany, NY",75 Years & Over,5791
2016,"Albany, NY",45 to 54 Years,10974
2016,"Albany, NY",35 to 44 Years,10462
2016,"Albany, NY",62 to 64 Years,2621
2016,"Albany, NY",65 to 74 Years,6294
2016,"Albany, NY",55 to 59 Years,5520
2016,"Albany, NY",Under 5 Years,5368
2016,"Albany, NY",25 to 34 Years,16205
2015,"Albany, NY",25 to 34 Years,16221
2015,"Albany, NY",18 to 24 Years,21741
2015,"Albany, NY",55 to 59 Years,5631
2015,"Albany, NY",75 Years & Over,5779
2015,"Albany, NY",35 to 44 Years,10389
2015,"Albany, NY",60 & 61 Years,1915
2015,"Albany, NY",Under 5 Years,5334
2015,"Albany, NY",5 to 17 Years,11486
2015,"Albany, NY",45 to 54 Years,10787
2015,"Albany, NY",62 to 64 Years,2785
2015,"Albany, NY",65 to 74 Years,6400
2018,"Albany, NY",18 to 24 Years,21091
2018,"Albany, NY",75 Years & Over,5906
2018,"Albany, NY",45 to 54 Years,10514
2018,"Albany, NY",Under 5 Years,5491
2018,"Albany, NY",65 to 74 Years,6670
2018,"Albany, NY",35 to 44 Years,10400
2018,"Albany, NY",55 to 59 Years,5270
2018,"Albany, NY",5 to 17 Years,11803
2018,"Albany, NY",62 to 64 Years,2768
2018,"Albany, NY",25 to 34 Years,15951
2018,"Albany, NY",60 & 61 Years,2025
2017,"Albany, NY",5 to 17 Years,11584
2017,"Albany, NY",75 Years & Over,5788
2017,"Albany, NY",60 & 61 Years,2036
2017,"Albany, NY",25 to 34 Years,16607
2017,"Albany, NY",62 to 64 Years,2686
2017,"Albany, NY",18 to 24 Years,21560
2017,"Albany, NY",55 to 59 Years,5401
2017,"Albany, NY",35 to 44 Years,10337
2017,"Albany, NY",65 to 74 Years,6634
2017,"Albany, NY",Under 5 Years,5442
2017,"Albany, NY",45 to 54 Years,10423
2016,"Albany, NY",5 to 17 Years,11073
2016,"Albany, NY",18 to 24 Years,22069
2016,"Albany, NY",60 & 61 Years,2048
2016,"Albany, NY",75 Years & Over,5791
2016,"Albany, NY",45 to 54 Years,10974
2016,"Albany, NY",35 to 44 Years,10462
2016,"Albany, NY",62 to 64 Years,2621
2016,"Albany, NY",65 to 74 Years,6294
2016,"Albany, NY",55 to 59 Years,5520
2016,"Albany, NY",Under 5 Years,5368
2016,"Albany, NY",25 to 34 Years,16205
2015,"Albany, NY",25 to 34 Years,16221
2015,"Albany, NY",18 to 24 Years,21741
2015,"Albany, NY",55 to 59 Years,5631
2015,"Albany, NY",75 Years & Over,5779
2015,"Albany, NY",35 to 44 Years,10389
2015,"Albany, NY",60 & 61 Years,1915
2015,"Albany, NY",Under 5 Years,5334
2015,"Albany, NY",5 to 17 Years,11486
2015,"Albany, NY",45 to 54 Years,10787
2015,"Albany, NY",62 to 64 Years,2785
2015,"Albany, NY",65 to 74 Years,6400
2018,"Albany, NY",18 to 24 Years,21091
2018,"Albany, NY",75 Years & Over,5906
2018,"Albany, NY",45 to 54 Years,10514
2018,"Albany, NY",Under 5 Years,5491
2018,"Albany, NY",65 to 74 Years,6670
2018,"Albany, NY",35 to 44 Years,10400
2018,"Albany, NY",55 to 59 Years,5270
2018,"Albany, NY",5 to 17 Years,11803
2018,"Albany, NY",62 to 64 Years,2768
2018,"Albany, NY",25 to 34 Years,15951
2018,"Albany, NY",60 & 61 Years,2025
2017,"Albany, NY",5 to 17 Years,11584
2017,"Albany, NY",75 Years & Over,5788
2017,"Albany, NY",60 & 61 Years,2036
2017,"Albany, NY",25 to 34 Years,16607
2017,"Albany, NY",62 to 64 Years,2686
2017,"Albany, NY",18 to 24 Years,21560
2017,"Albany, NY",55 to 59 Years,5401
2017,"Albany, NY",35 to 44 Years,10337
2017,"Albany, NY",65 to 74 Years,6634
2017,"Albany, NY",Under 5 Years,5442
2017,"Albany, NY",45 to 54 Years,10423
2016,"Albany, NY",5 to 17 Years,11073
2016,"Albany, NY",18 to 24 Years,22069
2016,"Albany, NY",60 & 61 Years,2048
2016,"Albany, NY",75 Years & Over,5791
2016,"Albany, NY",45 to 54 Years,10974
2016,"Albany, NY",35 to 44 Years,10462
2016,"Albany, NY",62 to 64 Years,2621
2016,"Albany, NY",65 to 74 Years,6294
2016,"Albany, NY",55 to 59 Years,5520
2016,"Albany, NY",Under 5 Years,5368
2016,"Albany, NY",25 to 34 Years,16205
2015,"Albany, NY",25 to 34 Years,16221
2015,"Albany, NY",18 to 24 Years,21741
2015,"Albany, NY",55 to 59 Years,5631
2015,"Albany, NY",75 Years & Over,5779
2015,"Albany, NY",35 to 44 Years,10389
2015,"Albany, NY",60 & 61 Years,1915
2015,"Albany, NY",Under 5 Years,5334
2015,"Albany, NY",5 to 17 Years,11486
2015,"Albany, NY",45 to 54 Years,10787
2015,"Albany, NY",62 to 64 Years,2785
2015,"Albany, NY",65 to 74 Years,6400
2018,"Albany, NY",18 to 24 Years,21091
2018,"Albany, NY",75 Years & Over,5906
2018,"Albany, NY",45 to 54 Years,10514
2018,"Albany, NY",Under 5 Years,5491
2018,"Albany, NY",65 to 74 Years,6670
2018,"Albany, NY",35 to 44 Years,10400
2018,"Albany, NY",55 to 59 Years,5270
2018,"Albany, NY",5 to 17 Years,11803
2018,"Albany, NY",62 to 64 Years,2768
2018,"Albany, NY",25 to 34 Years,15951
2018,"Albany, NY",60 & 61 Years,2025
2017,"Albany, NY",5 to 17 Years,11584
2017,"Albany, NY",75 Years & Over,5788
2017,"Albany, NY",60 & 61 Years,2036
2017,"Albany, NY",25 to 34 Years,16607
2017,"Albany, NY",62 to 64 Years,2686
2017,"Albany, NY",18 to 24 Years,21560
2017,"Albany, NY",55 to 59 Years,5401
2017,"Albany, NY",35 to 44 Years,10337
2017,"Albany, NY",65 to 74 Years,6634
2017,"Albany, NY",Under 5 Years,5442
2017,"Albany, NY",45 to 54 Years,10423
2016,"Albany, NY",5 to 17 Years,11073
2016,"Albany, NY",18 to 24 Years,22069
2016,"Albany, NY",60 & 61 Years,2048
2016,"Albany, NY",75 Years & Over,5791
2016,"Albany, NY",45 to 54 Years,10974
2016,"Albany, NY",35 to 44 Years,10462
2016,"Albany, NY",62 to 64 Years,2621
2016,"Albany, NY",65 to 74 Years,6294
2016,"Albany, NY",55 to 59 Years,5520
2016,"Albany, NY",Under 5 Years,5368
2016,"Albany, NY",25 to 34 Years,16205
2015,"Albany, NY",25 to 34 Years,16221
2015,"Albany, NY",18 to 24 Years,21741
2015,"Albany, NY",55 to 59 Years,5631
2015,"Albany, NY",75 Years & Over,5779
2015,"Albany, NY",35 to 44 Years,10389
2015,"Albany, NY",60 & 61 Years,1915
2015,"Albany, NY",Under 5 Years,5334
2015,"Albany, NY",5 to 17 Years,11486
2015,"Albany, NY",45 to 54 Years,10787
2015,"Albany, NY",62 to 64 Years,2785
2015,"Albany, NY",65 to 74 Years,6400
2018,"Atlanta, GA",18 to 24 Years,69619
2018,"Atlanta, GA",75 Years & Over,23942
2018,"Atlanta, GA",45 to 54 Years,55802
2018,"Atlanta, GA",Under 5 Years,32306
2018,"Atlanta, GA",65 to 74 Years,31361
2018,"Atlanta, GA",35 to 44 Years,71276
2018,"Atlanta, GA",55 to 59 Years,28400
2018,"Atlanta, GA",5 to 17 Years,59649
2018,"Atlanta, GA",62 to 64 Years,13087
2018,"Atlanta, GA",25 to 34 Years,102941
2018,"Atlanta, GA",60 & 61 Years,9690
2017,"Atlanta, GA",5 to 17 Years,65365
2017,"Atlanta, GA",75 Years & Over,22260
2017,"Atlanta, GA",60 & 61 Years,12315
2017,"Atlanta, GA",25 to 34 Years,100614
2017,"Atlanta, GA",62 to 64 Years,11759
2017,"Atlanta, GA",18 to 24 Years,65165
2017,"Atlanta, GA",55 to 59 Years,23347
2017,"Atlanta, GA",35 to 44 Years,66600
2017,"Atlanta, GA",65 to 74 Years,32410
2017,"Atlanta, GA",Under 5 Years,26654
2017,"Atlanta, GA",45 to 54 Years,59810
2016,"Atlanta, GA",5 to 17 Years,65056
2016,"Atlanta, GA",18 to 24 Years,60382
2016,"Atlanta, GA",60 & 61 Years,8809
2016,"Atlanta, GA",75 Years & Over,20257
2016,"Atlanta, GA",45 to 54 Years,57711
2016,"Atlanta, GA",35 to 44 Years,64754
2016,"Atlanta, GA",62 to 64 Years,10140
2016,"Atlanta, GA",65 to 74 Years,32065
2016,"Atlanta, GA",55 to 59 Years,25126
2016,"Atlanta, GA",Under 5 Years,26419
2016,"Atlanta, GA",25 to 34 Years,101787
2015,"Atlanta, GA",25 to 34 Years,97769
2015,"Atlanta, GA",18 to 24 Years,60644
2015,"Atlanta, GA",55 to 59 Years,25379
2015,"Atlanta, GA",75 Years & Over,22782
2015,"Atlanta, GA",35 to 44 Years,68423
2015,"Atlanta, GA",60 & 61 Years,8634
2015,"Atlanta, GA",Under 5 Years,24623
2015,"Atlanta, GA",5 to 17 Years,58430
2015,"Atlanta, GA",45 to 54 Years,52795
2015,"Atlanta, GA",62 to 64 Years,12461
2015,"Atlanta, GA",65 to 74 Years,31935
2018,"Atlanta, GA",18 to 24 Years,69619
2018,"Atlanta, GA",75 Years & Over,23942
2018,"Atlanta, GA",45 to 54 Years,55802
2018,"Atlanta, GA",Under 5 Years,32306
2018,"Atlanta, GA",65 to 74 Years,31361
2018,"Atlanta, GA",35 to 44 Years,71276
2018,"Atlanta, GA",55 to 59 Years,28400
2018,"Atlanta, GA",5 to 17 Years,59649
2018,"Atlanta, GA",62 to 64 Years,13087
2018,"Atlanta, GA",25 to 34 Years,102941
2018,"Atlanta, GA",60 & 61 Years,9690
2017,"Atlanta, GA",5 to 17 Years,65365
2017,"Atlanta, GA",75 Years & Over,22260
2017,"Atlanta, GA",60 & 61 Years,12315
2017,"Atlanta, GA",25 to 34 Years,100614
2017,"Atlanta, GA",62 to 64 Years,11759
2017,"Atlanta, GA",18 to 24 Years,65165
2017,"Atlanta, GA",55 to 59 Years,23347
2017,"Atlanta, GA",35 to 44 Years,66600
2017,"Atlanta, GA",65 to 74 Years,32410
2017,"Atlanta, GA",Under 5 Years,26654
2017,"Atlanta, GA",45 to 54 Years,59810
2016,"Atlanta, GA",5 to 17 Years,65056
2016,"Atlanta, GA",18 to 24 Years,60382
2016,"Atlanta, GA",60 & 61 Years,8809
2016,"Atlanta, GA",75 Years & Over,20257
2016,"Atlanta, GA",45 to 54 Years,57711
2016,"Atlanta, GA",35 to 44 Years,64754
2016,"Atlanta, GA",62 to 64 Years,10140
2016,"Atlanta, GA",65 to 74 Years,32065
2016,"Atlanta, GA",55 to 59 Years,25126
2016,"Atlanta, GA",Under 5 Years,26419
2016,"Atlanta, GA",25 to 34 Years,101787
2015,"Atlanta, GA",25 to 34 Years,97769
2015,"Atlanta, GA",18 to 24 Years,60644
2015,"Atlanta, GA",55 to 59 Years,25379
2015,"Atlanta, GA",75 Years & Over,22782
2015,"Atlanta, GA",35 to 44 Years,68423
2015,"Atlanta, GA",60 & 61 Years,8634
2015,"Atlanta, GA",Under 5 Years,24623
2015,"Atlanta, GA",5 to 17 Years,58430
2015,"Atlanta, GA",45 to 54 Years,52795
2015,"Atlanta, GA",62 to 64 Years,12461
